va,size,pattern,detail
0x10040AC0,107,branching,39 insns
0x10040B30,196,branching,78 insns
0x10040C00,358,x87-math,120 insns
0x10040D70,358,x87-math,120 insns
0x10040EE0,339,x87-math,116 insns
0x10041040,320,x87-math,111 insns
0x10041180,320,x87-math,111 insns
0x10041300,163,branching,63 insns
0x100414B0,236,branching,92 insns
0x100415A0,198,branching,75 insns
0x10041670,157,branching,62 insns
0x10041710,156,branching,61 insns
0x100417B0,180,branching,70 insns
0x10041870,30,other,6 insns
0x10041890,62,branching,15 insns
0x100418D0,26,branching,7 insns
0x100418F0,62,branching,15 insns
0x10041930,51,branching,13 insns
0x10041970,90,branching,21 insns
0x100419D0,42,branching,14 insns
0x10041A00,179,branching,59 insns
0x10041AC0,144,branching,51 insns
0x10041B50,115,branching,41 insns
0x10041DF0,553,branching,193 insns
0x10042020,328,branching,117 insns
0x10042410,179,branching,59 insns
0x100424D0,144,branching,51 insns
0x10042560,468,branching,168 insns
0x10042740,306,branching,110 insns
0x10042880,527,branching,148 insns
0x10042A90,48,branching,12 insns
0x10042AC0,48,branching,12 insns
0x10042B00,48,branching,12 insns
0x10042B30,330,branching,107 insns
0x10042C80,99,branching,25 insns
0x10042CF0,99,branching,24 insns
0x10042D60,92,branching,24 insns
0x10042DC0,93,branching,23 insns
0x10042E20,93,branching,23 insns
0x10042E80,93,branching,23 insns
0x10042EE0,457,branching,149 insns
0x100430B0,206,branching,68 insns
0x10043180,210,branching,63 insns
0x10043260,201,branching,49 insns
0x10043330,201,branching,49 insns
0x10043400,178,branching,48 insns
0x100434C0,201,branching,49 insns
0x10043590,93,branching,23 insns
0x100435F0,93,branching,23 insns
0x10043650,93,branching,23 insns
0x100436B0,93,branching,23 insns
0x10043760,77,branching,18 insns
0x100437B0,32,branching,10 insns
0x100437D0,64,branching,18 insns
0x10043810,490,branching,153 insns
0x10043A00,491,branching,164 insns
0x10043CD0,201,branching,49 insns
0x10043DA0,201,branching,49 insns
0x10043E70,216,branching,57 insns
0x10043F50,66,branching,16 insns
0x10043FA0,30,calls-out,9 insns
0x10043FC0,66,branching,16 insns
0x10044010,29,calls-out,7 insns
0x10044030,29,calls-out,7 insns
0x10044050,29,calls-out,7 insns
0x10044070,29,calls-out,7 insns
0x10044090,29,calls-out,7 insns
0x100440B0,29,calls-out,7 insns
0x100440D0,201,branching,49 insns
0x100441A0,210,branching,66 insns
0x10044280,340,branching,87 insns
0x100443E0,222,branching,50 insns
0x100444C0,122,branching,31 insns
0x10044600,202,branching,62 insns
0x100446D0,254,branching,64 insns
0x100447D0,407,branching,120 insns
0x10044970,178,branching,52 insns
0x10044A30,170,branching,50 insns
0x10044AE0,85,branching,23 insns
0x10044B40,66,branching,16 insns
0x10044B90,214,branching,52 insns
0x10044C70,56,branching,15 insns
0x10044CB0,66,branching,16 insns
0x10044D00,221,branching,51 insns
0x10044DE0,56,branching,15 insns
0x10044E20,223,branching,53 insns
0x10044F00,66,branching,16 insns
0x10044F50,244,branching,57 insns
0x10045050,57,calls-out,11 insns
0x10045090,42,calls-out,9 insns
0x100450C0,47,calls-out,10 insns
0x100450F0,30,calls-out,8 insns
0x10045110,201,branching,49 insns
0x100451E0,214,branching,52 insns
0x100452C0,201,branching,49 insns
0x10045390,201,branching,49 insns
0x10045460,184,branching,46 insns
0x10045520,184,branching,46 insns
0x100455E0,201,branching,49 insns
0x100456B0,201,branching,49 insns
0x10045780,32,calls-out,8 insns
0x100457A0,32,calls-out,8 insns
0x100457C0,32,calls-out,8 insns
0x100457E0,32,calls-out,8 insns
0x10045800,32,calls-out,8 insns
0x10045820,32,calls-out,8 insns
0x10045840,32,calls-out,8 insns
0x10045860,32,calls-out,8 insns
